1719996637.69878960,2321,291055.69878960,22.30159189,114.19029236,0.45236994,60.68328039,0.15233391,0.73280065,0.00001647,0.00148660,0.00230433
1719996638.39887524,2321,291056.39887524,22.30159161,114.19029123,0.29634294,61.22839506,3.10455190,3.57897579,-0.11664548,-0.02931177,-0.15372267
1719996638.69985414,2321,291056.69985414,22.30159153,114.19028985,0.23386281,53.96258365,1.15741286,4.06153325,-0.25807759,-0.03781050,-0.21620280
1719996638.99902987,2321,291056.99902987,22.30159099,114.19028839,0.14486460,50.99819087,-1.99513149,2.37143077,-0.40866646,-0.09734417,-0.30520103
1719996639.29907990,2321,291057.29907990,22.30159050,114.19028621,0.09115695,55.49220089,1.12710546,3.15166736,-0.63387563,-0.15257869,-0.35890869
1719996639.59903908,2321,291057.59903908,22.30158999,114.19028344,-0.00542601,55.99021989,-2.35351954,0.48003980,-0.91895808,-0.20893617,-0.45549169
1719996639.99967670,2321,291057.99967670,22.30158827,114.19027964,-0.14349662,52.75606663,-3.65328853,2.11433895,-1.31047621,-0.39900739,-0.59356238
1719996640.29894519,2321,291058.29894519,22.30158678,114.19027628,-0.23164806,53.90604678,-1.53023312,4.06806577,-1.65642424,-0.56444108,-0.68171391
1719996640.59912443,2321,291058.59912443,22.30158524,114.19027251,-0.37943036,50.83644670,-3.69620811,2.61854158,-2.04486259,-0.73476744,-0.82949634
1719996640.89919877,2321,291058.89919877,22.30158289,114.19026898,-0.52783939,43.00625456,-0.29639183,6.21818341,-2.40908218,-0.99496747,-0.97790554
1719996641.19907618,2321,291059.19907618,22.30158051,114.19026466,-0.64627100,46.29063373,-1.28382932,4.79612292,-2.85378532,-1.25852436,-1.09633737
1719996641.49905181,2321,291059.49905181,22.30157813,114.19025950,-0.81533714,52.32248871,-4.02201681,-0.46683992,-3.38551034,-1.52222887,-1.26540383
1719996641.89915276,2321,291059.89915276,22.30157382,114.19025273,-1.02470237,44.68105924,-2.80533598,2.91378243,-4.08307886,-1.99945734,-1.47476961
1719996642.19918513,2321,291060.19918513,22.30157045,114.19024683,-1.13961144,50.80477006,-1.54720430,3.31628875,-4.69086180,-2.37212665,-1.58967922
1719996642.49925327,2321,291060.49925327,22.30156696,114.19023990,-1.33396008,59.56964457,-5.57634025,0.43714796,-5.40509759,-2.75868527,-1.78402858
1719996642.79912806,2321,291060.79912806,22.30156267,114.19023337,-1.50323306,54.61446073,-0.43183844,1.59133489,-6.07823359,-3.23401956,-1.95330239
1719996643.09947920,2321,291061.09947920,22.30155788,114.19022616,-1.70341948,57.18415128,-5.56248131,-0.03807555,-6.82141297,-3.76438251,-2.15348986
1719996643.69903111,2321,291061.69903111,22.30154726,114.19020963,-2.10379232,48.92809167,-1.81618639,6.11200586,-8.52453799,-4.94051617,-2.55386555
1719996643.99984002,2321,291061.99984002,22.30154028,114.19020155,-2.34903937,39.64901921,-6.87707825,6.53105824,-9.35716661,-5.71304112,-2.79911442
1719996644.29907537,2321,291062.29907537,22.30153266,114.19019297,-2.54772527,39.65050895,-4.28150842,6.21107761,-10.24071655,-6.55646390,-2.99780248
1719996644.59932709,2321,291062.59932709,22.30152428,114.19018440,-2.77218856,33.93525073,-4.60796301,6.17964984,-11.12475968,-7.48487445,-3.22226829
